Nome,Ruolo,Squadra,Q
Leoni,D,Parma,13
Kempf,D,Como,14
Bradaric,D,Verona,12
Candè,D,Venezia,17
Kelly L.,D,Juventus,16
Hien,D,Atalanta,21
Lucumi',D,Bologna,16
De Silvestri,D,Bologna,11
Moreno Alb.,D,Como,12
Goglichidze,D,Empoli,17
Pongracic,D,Fiorentina,13
Bani,D,Genoa,11
Lazzari,D,Lazio,10
Hysaj,D,Lazio,8
Gallo,D,Lecce,13
Celik,D,Roma,15
Zemura,D,Udinese,11
Palomino,D,Cagliari,10
Guilbert,D,Lecce,18
Schingtienne,D,Venezia,12
Kossounou,D,Atalanta,13
Van Der Brempt,D,Como,8
Alberto Costa,D,Juventus,7
Rensch,D,Roma,13
Veiga D.,D,Lecce,7
Valle,D,Como,11
Dossena,D,Como,10
Walukiewicz,D,Torino,12
Ebuehi,D,Empoli,6
Vogliacco,D,Parma,15
De Sciglio,D,Empoli,10
Calabria,D,Bologna,15
Izzo,D,Monza,14
Carboni A.,D,Monza,11
Pereira P.,D,Monza,11
Balogh,D,Parma,10
Kristensen T.,D,Udinese,10
Zampano,D,Venezia,11
Dawidowicz,D,Verona,9
Ghilardi,D,Verona,10
Erlic,D,Bologna,7
Marianucci,D,Empoli,10
Norton-Cuffy,D,Genoa,6
Dembele' A.,D,Torino,3
Jean,D,Lecce,10
Valentini N.,D,Verona,10
Nelsson,D,Roma,8
Toloi,D,Atalanta,12
Marcandalli,D,Venezia,7
Casale,D,Bologna,9
Thiaw,D,Milan,12
Juan Jesus,D,Napoli,11
Palestra,D,Atalanta,4
Pedersen,D,Torino,9
Hummels,D,Roma,14
Ahanor,D,Genoa,5
Smolcic I.,D,Como,12
Posch,D,Atalanta,15
Matturro,D,Genoa,6
Cabal,D,Juventus,8
Caldirola,D,Monza,6
Marin R.,D,Napoli,5
Circati,D,Parma,9
Giannetti L.,D,Udinese,7
Svoboda,D,Venezia,9
Sverko,D,Venezia,13
Frese,D,Verona,5
Sosa B.,D,Torino,8
Sergi Roberto,D,Como,15
Palacios T.,D,Monza,5
Sambia,D,Empoli,3
Bartesaghi,D,Milan,5
Lovik,D,Parma,5
Otoa,D,Genoa,5
Lekovic,D,Monza,7
Tiago Gabriel,D,Lecce,1
Brorsson,D,Monza,5
Scalvini,D,Atalanta,7
Iovine,D,Como,5
Sala M.,D,Lecce,5
Patric,D,Lazio,5
Terracciano F.,D,Milan,9
D'Ambrosio,D,Monza,13
Mazzocchi,D,Napoli,8
Osorio,D,Parma,6
Sangare' B.,D,Roma,1
Sazonov,D,Empoli,4
Schuurs,D,Torino,7
Okou,D,Verona,3
Faraoni,D,Verona,8
Sagrado,D,Venezia,2
Rouhi,D,Juventus,6
Abdulhamid,D,Roma,5
Carboni F.,D,Venezia,5
Moreno M.,D,Fiorentina,5
Daniliuc,D,Verona,8
Toure' I.s.,D,Udinese,7
Florenzi,D,Milan,1
Jack,D,Como,7
Oyegoke,D,Verona,6
Provstgaard,D,Lazio,5
Slotsager,D,Verona,1
Salah-Eddine,D,Roma,6
Scott,D,Lecce,1
Luan Patrick,D,Verona,1
Orsolini,C,Bologna,245
McTominay,C,Napoli,232
Pulisic,C,Milan,231
Ndoye,C,Bologna,97
Reijnders,C,Milan,186
Zaccagni,C,Lazio,170
Saelemaekers,C,Roma,72
Zambo Anguissa,C,Napoli,102
Paz N.,C,Como,100
Strefezza,C,Como,63
Calhanoglu,C,Inter,126
Barella,C,Inter,55
Thuram K.,C,Juventus,63
Weah,C,Juventus,17
Mandragora,C,Fiorentina,53
Nicolussi Caviglia,C,Venezia,56
Vlasic,C,Torino,45
Neres,C,Napoli,38
De Roon,C,Atalanta,53
Ederson D.s.,C,Atalanta,68
Fazzini,C,Empoli,61
Adli,C,Fiorentina,42
Frattesi,C,Inter,27
Politano,C,Napoli,70
Man,C,Parma,30
Cristante,C,Roma,42
El Shaarawy,C,Roma,16
Oristanio,C,Venezia,29
Brescianini,C,Atalanta,28
Kone' M.,C,Roma,51
Diao,C,Como,102
Koopmeiners,C,Juventus,32
Da Cunha,C,Como,41
Conceicao,C,Juventus,25
Freuler,C,Bologna,38
Marin,C,Cagliari,15
Locatelli,C,Juventus,44
Maldini,C,Atalanta,34
Hernani,C,Parma,23
Sohm,C,Parma,28
Ellertsson,C,Venezia,21
Anjorin,C,Empoli,30
Caqueret,C,Como,31
Elmas,C,Torino,74
Fabbian,C,Bologna,16
Ferguson,C,Bologna,18
Mkhitaryan,C,Inter,26
McKennie,C,Juventus,36
Cataldi,C,Fiorentina,20
Dele-Bashiru,C,Lazio,18
Chukwueze,C,Milan,10
Gaetano,C,Cagliari,13
Paredes,C,Roma,29
Ekkelenkamp,C,Udinese,24
Fofana Y.,C,Milan,26
Ondrejka,C,Parma,38
Pasalic,C,Atalanta,27
Colpani,C,Fiorentina,10
Miretti,C,Genoa,25
Vecino,C,Lazio,14
Guendouzi,C,Lazio,21
Pellegrini Lo.,C,Roma,15
Gineitis,C,Torino,16
Samardzic,C,Atalanta,10
Zerbin,C,Venezia,23
Casadei,C,Torino,24
Ikone',C,Como,17
Frendrup,C,Genoa,25
Asllani,C,Inter,29
Douglas Luiz,C,Juventus,10
Tete Morente,C,Lecce,22
Pobega,C,Bologna,24
Bernabe',C,Parma,22
Lovric,C,Udinese,23
Coulibaly L.,C,Lecce,25
Sulemana I.,C,Atalanta,10
Adopo,C,Cagliari,17
Viola,C,Cagliari,20
Zielinski,C,Inter,16
Rovella,C,Lazio,28
Loftus-Cheek,C,Milan,8
Lobotka,C,Napoli,26
Ricci S.,C,Torino,26
Busio,C,Venezia,14
Lazovic,C,Verona,8
Fadera,C,Como,13
Perez K.,C,Venezia,23
Deiola,C,Cagliari,14
Henderson L.,C,Empoli,14
Gyasi,C,Empoli,14
Bianco,C,Monza,15
Fagioli,C,Fiorentina,22
Duda,C,Verona,22
Pisilli,C,Roma,12
Helgason,C,Lecce,22
Yeboah J.,C,Venezia,20
Gilmour,C,Napoli,22
Masini,C,Genoa,18
Zaniolo,C,Fiorentina,11
Sottil,C,Milan,9
Messias,C,Genoa,15
Ramadani,C,Lecce,13
Ciurria,C,Monza,13
Bove,C,Fiorentina,25
Zalewski,C,Inter,12
Baldanzi,C,Roma,14
Doumbia I.,C,Venezia,12
Hainaut,C,Parma,14
Berisha M.,C,Lecce,9
Perrone,C,Como,23
Atta,C,Udinese,18
Cornet,C,Genoa,13
Veiga R.,C,Juventus,18
Karlsson,C,Lecce,14
Makoumbou,C,Cagliari,16
Grassi,C,Empoli,15
Badelj,C,Genoa,18
Malinovskyi,C,Genoa,20
Castrovilli,C,Monza,15
Payero,C,Udinese,15
Serdar,C,Verona,12
Suslov,C,Verona,21
Karlstrom,C,Udinese,26
Richardson,C,Fiorentina,12
Rui Modesto,C,Udinese,15
Felici,C,Cagliari,16
Pierret,C,Lecce,15
Zarraga,C,Udinese,9
Kastanos,C,Verona,9
Engelhardt,C,Como,12
Sensi,C,Monza,9
Keita M.,C,Parma,17
Venturino,C,Genoa,1
Bernede,C,Verona,19
Moro N.,C,Bologna,15
Urbanski,C,Monza,17
Akpa Akpro,C,Monza,8
Kaba,C,Lecce,10
Musah,C,Milan,16
Folorunsho,C,Fiorentina,14
Linetty,C,Torino,15
Ilic,C,Torino,9
Harroui,C,Verona,23
Billing,C,Napoli,13
Onana J.,C,Genoa,13
Prati,C,Cagliari,15
Thorsby,C,Genoa,13
Tchaouna,C,Lazio,10
Maleh,C,Empoli,10
Zeroli,C,Monza,11
Bondo,C,Milan,14
Camara D.,C,Parma,8
Tameze,C,Torino,10
Belahyane,C,Lazio,14
Martins K.,C,Monza,5
Ndour,C,Fiorentina,17
Gourna-Douath,C,Roma,13
Aebischer,C,Bologna,13
Braunoder,C,Como,8
Haas,C,Empoli,3
Gagliardini,C,Monza,6
Pessina,C,Monza,12
Forson O.,C,Monza,7
Estevez,C,Parma,11
Duncan,C,Venezia,5
Bjarkason,C,Venezia,6
Zurkowski,C,Empoli,9
Kasa,C,Genoa,1
Condè,C,Venezia,10
Niasse,C,Verona,14
Kovalenko,C,Empoli,5
Perciun,C,Torino,1
Cacciamani,C,Torino,1
El Azzouzi,C,Bologna,9
Jankto,C,Cagliari,7
Rafia,C,Lecce,10
Marchwinski,C,Lecce,5
Vignato S.,C,Monza,9
Crnigoj,C,Venezia,1
Adzic,C,Juventus,3
Liberali,C,Milan,5
El Haddad,C,Venezia,5
Cassa,C,Atalanta,1
Byar,C,Bologna,1
Cisse' A.,C,Verona,1
Manzoni,C,Atalanta,1
Vos,C,Milan,1
Hasa,C,Napoli,1
Basic,C,Lazio,1
Pafundi,C,Udinese,5
Ibrahimovic A.,C,Lazio,8
Alli,C,Como,8
Cuenca H.,C,Genoa,1
Retegui,A,Atalanta,500
Kean,A,Fiorentina,436
Lookman,A,Atalanta,391
Thuram,A,Inter,360
Lukaku,A,Napoli,427
Martinez L.,A,Inter,357
Pedro,A,Lazio,57
Gimenez,A,Milan,130
Vlahovic,A,Juventus,163
Dovbyk,A,Roma,260
Yildiz,A,Juventus,83
Castellanos,A,Lazio,192
Leao,A,Milan,174
Soule',A,Roma,102
De Ketelaere,A,Atalanta,81
Esposito Se.,A,Empoli,43
Gudmundsson A.,A,Fiorentina,42
Lucca,A,Udinese,100
Dia,A,Lazio,86
Krstovic,A,Lecce,107
Dybala,A,Roma,141
Adams C.,A,Torino,73
Kolo Muani,A,Juventus,178
Piccoli,A,Cagliari,82
Raspadori,A,Napoli,50
Pinamonti,A,Genoa,82
Shomurodov,A,Roma,22
Dominguez B.,A,Bologna,17
Odgaard,A,Bologna,46
Castro S.,A,Bologna,61
Thauvin,A,Udinese,38
Cutrone,A,Como,23
Bonny,A,Parma,43
Cambiaghi,A,Bologna,23
Beltran L.,A,Fiorentina,18
Scamacca,A,Atalanta,70
Arnautovic,A,Inter,27
Colombo,A,Empoli,12
Tengstedt,A,Verona,18
Gonzalez N.,A,Juventus,37
Isaksen,A,Lazio,34
Djuric,A,Parma,15
Zapata D.,A,Torino,90
Mosquera,A,Verona,10
Correa,A,Inter,18
Sarr A.,A,Verona,20
Dallinga,A,Bologna,28
Jovic,A,Milan,20
Mota,A,Monza,18
Mbangula,A,Juventus,10
Joao Felix,A,Milan,22
Caprari,A,Monza,20
Douvikas,A,Como,23
Luvumbo,A,Cagliari,17
Ekuban,A,Genoa,12
Noslin,A,Lazio,10
Pierotti,A,Lecce,22
Abraham,A,Milan,36
Gytkjaer,A,Venezia,10
Keita B.,A,Monza,24
Vitinha O.,A,Genoa,19
Bravo,A,Udinese,11
Coman F.,A,Cagliari,11
Fila,A,Venezia,13
Pellegrino M.,A,Parma,25
Taremi,A,Inter,8
Simeone,A,Napoli,7
Davis K.,A,Udinese,11
Pavoletti,A,Cagliari,11
Cancellieri,A,Parma,15
Ekhator,A,Genoa,8
Karamoh,A,Torino,9
Kouame',A,Empoli,11
Charpentier,A,Parma,12
Sanabria,A,Torino,10
Rocha Livramento,A,Verona,10
Almqvist,A,Parma,12
Rebic,A,Lecce,8
Okafor,A,Napoli,5
Pellegri,A,Empoli,29
Haj Mohamed,A,Parma,7
N'Dri,A,Lecce,10
Ganvoula,A,Monza,9
Mihaila,A,Parma,10
Brenner,A,Udinese,5
Sanchez,A,Udinese,7
Maric,A,Venezia,9
Mutandwa,A,Cagliari,3
Gabrielloni,A,Como,8
Banda,A,Lecce,9
Burnete,A,Lecce,1
Camarda,A,Milan,6
Ngonge,A,Napoli,11
Benedyczak,A,Parma,5
Solbakken,A,Empoli,9
Vlahovic V.,A,Atalanta,5
Lambourde,A,Verona,3
Balotelli,A,Genoa,5
Milik,A,Juventus,3
Petagna,A,Monza,6
Pizarro,A,Udinese,3
Njie,A,Torino,6
Kowalski,A,Parma,5
Sansone,A,Lecce,5
Pedrola,A,Bologna,5
Salama,A,Torino,3
Azon,A,Como,5
